,,Demand Variability,,,Lead Time Variability,,,,,,,,,,,,,,
,,20%,,,10%,,,,,,,,,,,,,,
I/C,Description,2026 Demand, Weekly Demand ,Std Cost,Lead Time (weeks), SOQ (Qty) , Average Receipt Qty , Comments , LT Demand , Safety Stock , Min , Max , Average , Min $ , Max $ , Average $ ,Primary Cust, Primary Cust % ,Total Cust Count
ABS-2160,Cycoloy XCY620S BK1005," 33,399 ", 642 , $3.00 ,8," 1,100 "," 1,166 ",," 5,138 "," 1,542 "," 1,542 "," 2,642 "," 2,092 "," $4,625 "," $7,925 "," $6,275 ","Decostar Industries, Inc.",98%,2
ABS-6001,Pulse 2000EZ PC/ABS BLACK," 10,646 ", 205 , $2.10 ,6," 1,653 "," 3,281 ",," 1,228 ", 369 , 369 ," 2,022 "," 1,195 ", $774 ," $4,245 "," $2,510 ",Mahle Thermal and Fluid Systems Mt Sterling Inc,100%,1
ABS-6100,Anjacom R050/7020 BK," 58,457 "," 1,124 ", $2.10 ,4," 4,400 "," 5,826 ",," 4,497 "," 1,349 "," 1,349 "," 5,749 "," 3,549 "," $2,826 "," $12,044 "," $7,435 ","Decostar Industries, Inc.",100%,1
ABS-6110,Anjacom ABS 050 7020 Natural 0000," 23,505 ", 452 , $2.68 ,4," 2,200 "," 2,513 ",," 1,808 ", 542 , 542 ," 2,742 "," 1,642 "," $1,454 "," $7,350 "," $4,402 ","Decostar Industries, Inc.",100%,1
ACE-1400,DELRIN 570 NC-000 NATURAL," 1,200 ", 23 , $4.95 ,8, 220 , 110 ,, 185 , 55 , 55 , 275 , 165 , $274 ," $1,363 ", $819 ,Standard Motor Products,100%,1
ACE-1500,DELRIN 577 BLACK, 267 , 5 , $3.38 ,4, 50 ,#DIV/0!,, 21 , 6 , 6 , 56 , 31 , $21 , $190 , $105 ,Standard Motor Products,100%,1
ACE-2000,CELCON M-90 NATURAL," 142,269 "," 2,736 ", $1.30 ,6," 4,400 "," 4,299 ",," 16,416 "," 4,925 "," 4,925 "," 9,325 "," 7,125 "," $6,402 "," $12,122 "," $9,262 ","Detroit Thermal Systems, LLC",100%,1
ACE-3100,CELCON M90 BLACK," 96,804 "," 1,862 ", $1.27 ,6," 2,200 "," 2,082 ",," 11,170 "," 3,351 "," 3,351 "," 5,551 "," 4,451 "," $4,256 "," $7,050 "," $5,653 ","Detroit Thermal Systems, LLC",100%,2
